Title,Artist,Date,Medium,Dimensions,URL,Circumference (cm),Depth (cm),Diameter (cm),Height (cm),Length (cm),Weight (kg),Width (cm),Seat Height (cm),Duration (sec.)
The Nude Man,Beth Van Hoesen,1965,"Book of twenty etchings (six with drypoint and six with aquatint), four drypoints, and one engraving","overall (closed): 15 7/16 x 11 9/16 x 13/16"" (39.2 x 29.3 x 2 cm)",http://www.moma.org/collection/works/160200,,2.0,,39.2,,,29.3,,
"Untitled, (Abstraction, airplane)",Unknown photographer,c. 1920,Gelatin silver print,"2 3/8 × 4 1/8"" (6 × 10.4 cm)",http://www.moma.org/collection/works/98147,,,,6.0,,,10.4,,
Abraham Mourns Sarah,Marc Chagall,(1931),Etching,"plate: 11 1/2 × 9 7/16"" (29.2 × 24 cm); sheet: 17 3/8 × 12 13/16"" (44.1 × 32.5 cm)",,,,,29.2,,,24.0,,
Ear,Louise Bourgeois,2004,"Drypoint and aquatint, with hand additions","plate: 9 7/8 x 6 1/8"" (25.1 x 15.6 cm); sheet: 12 11/16 x 8 3/4"" (32.2 x 22.3 cm)",http://www.moma.org/collection/works/150524,,,,25.1,,,15.6,,
Poster of the French National Railroad,Album-miscellaneous,1900-1943,,,,,,,,,,,,
"Subaek-dang Residence, Namyangju, Korea (Preliminary plan sketch)",Seung H-Sang,1996-1997,Pencil on tracing paper,"12 x 17 1/2"" (30.5 x 44.5 cm)",http://www.moma.org/collection/works/134549,,,,30.4800609601,,,44.4500889002,,
Plate (page 93) from La Nouvelle chute d'Amérique,Roy Lichtenstein,1992,Aquatint from an illustrated book with ten aquatints,"plate: 11 x 14 7/8"" (28 x 37.8cm); sheet: 14 1/8 × 17 11/16"" (35.8 × 45 cm)",http://www.moma.org/collection/works/11441,,,,28.0,,,37.8,,
Double folio plate (folios 17 and 18) from SELVAGGINI,Angelo Savelli,1986,Folded embossing,"irreg. composition  14 9/16 x 20 11/16"" (37 x 52.5 cm)",,,,,37.0,,,52.5,,
The Spring,Francis Picabia,"Saint Cloud, spring or summer 1912",Oil on canvas,"8' 2 1/4"" x 8' 2 1/8"" (249.6 x 249.3 cm)",http://www.moma.org/collection/works/80658,,,,249.6,,,249.3,,
"Épicerie Bagneaux, Rouen",Unknown photographer,1904,Gelatin silver print,"Approx. 3 9/16 × 5 1/2"" (9 × 14 cm)",http://www.moma.org/collection/works/405086,,,,,,,,,
",MR43.197,Mies van der Rohe Archive,Architecture & Design,,Y,170154,http://www.moma.org/collection/works/170154,http://www.moma.org/media/W1siZiIsIjI3MjA2NCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=bbb59d8843174f64,,,,41.9101,,,29.8451,,
Isadora Duncan at the Portal of the Parthenon,Edward Steichen,5623,(American"," born Luxembourg. 1879–1973)""","7 3/8 × 9 7/16"" (18.7 × 24 cm)",Gift of the artist,1229.1964,,,18.7325,,,23.9713,,
Landscape with Clouds,Roy Lichtenstein,1964,Crayon and pencil on paper,"4 5/8 x 11 1/8"" (11.9 x 28.4 cm)",http://www.moma.org/collection/works/38603,,,,11.7,,,28.3,,
Crow with Peacock Feathers (Krähe mit Pfauenfedern) (in-text plate (page 29) from Tierfabeln des Aesop (Aesop's Fables),Gerhard Marcks,"(1950, print executed 1949-50)","One from an illustrated book with thirty-five woodcuts (including woodcut cover, title page and ornamental initials)","composition (irreg.): 1 3/4 x 3 9/16"" (4.4 x 9 cm); page: 13 x 9 1/16"" (33 x 23 cm)",http://www.moma.org/collection/works/15034,,,,4.4,,,9.0,,
Convex Cup,Ted Muehling,2000,Porcelain,"3 1/2 x diam. 3"" (8.9 x 7.6 cm)",http://www.moma.org/collection/works/95164,,,7.62,8.89,,,,,
Costume design (Androcles and the Lion) for artist's ballet Orphée of the Quat-z-arts,Florine Stettheimer,c. 1912,"Oil, yarn, fabric, and lace on wood","11 7/8 x 17 7/8"" (30.2 x 45.4 cm)",http://www.moma.org/collection/works/85855,,,,30.1626,,,45.4026,,
"Contemporary Man, in Proposals for Art Education from a Year Long Study Supported by The Carnegie Corporation of New York",George Maciunas,c. 1968,(CONFIRM),,,,,,,,,,,
"Urban Proposal with Multi Thin-Shell Capsules, project (Plan sketch)",Daniel Grataloup,1970,"Felt-tipped marker, pencil and colored pencil on paper","11 3/4 x 8 1/4"" (29.8 x 21 cm)",http://www.moma.org/collection/works/168708,,,,29.8450596901,,,20.9550419101,,
Outamaro,Henri Matisse,1914,Etching with chine collé,"plate: 7 1/16 x 5 1/8"" (17.9 x 13 cm); sheet: 14 3/16 x 10 13/16"" (36 x 27.5 cm)",http://www.moma.org/collection/works/68877,,,,17.9,,,13.0,,
"Chapel de Notre-Dame-du-Haut, Ronchamp, France (Exterior view)","Richard Pare, Le Corbusier (Charles-Édouard Jeanneret)",2012,Digital color coupler laser prints,"22 1/4 x 96"" (56.5 x 243.8 cm)",http://www.moma.org/collection/works/168008,,,,80.0101600203,,,269.8755397511,,
"Couple et petit valet encadrés par une portière (plate, page 92) from La Célestine",Pablo Picasso,"1968, published 1971",One from an illustrated book with 66 etching and aquatints,"page (each, approx.): 8 1/4 x 6 7/16"" (21 x 16.3 cm); overall (closed): 8 11/16 x 7 3/16 x 1 9/16"" (22 x 18.3 x 4 cm); case: 9 x 7 3/8 x 1 7/8"" (22.8 x 18.7 x 4.8 cm)",,,,,21.0,,,16.3,,
"Lafayette Towers, Detroit, MI",Ludwig Mies van der Rohe,1960,Pencil on acetate,"31 1/2 x 60 1/2"" (80 x 153.7 cm)",http://www.moma.org/collection/works/170040,,,,80.0101600203,,,153.6703073406,,
Splitting I and II,Anselm Kiefer,1986,"Two-volume book of clay, photographs, synthetic polymer paint, glass, porcelain, and copper wire on board, bound with canvas, each on a steel lectern designed by the artist","Volume I 27 3/4 x 19 3/4 x 4 3/4"" (70.4 x 50.2 x 12.2 cm), volume II 28 x 20 x 3 1/2"" (71 x 50.8 x 8.9 cm), lecterns, each 41 x 43 5/8 x 26 1/2"" (104 x 110.1 x 67.2 cm)",http://www.moma.org/collection/works/80852,,67.3,,104.1,,,110.8,,
Untitled,,"June 9, 1962",Gelatin silver print,,,,,,,,,,,
DRAWING RESTRAINT 12,Matthew Barney,2005,"Video (black and white, silent)",11:50 min.,http://www.moma.org/collection/works/194545,,,,,,,,,710.0
Solomon and His Wives (Salomo und seine Frauen),Emil Nolde,(1911),Etching and tonal etching,"plate: 11 7/8 x 9 13/16"" (30.2 x 24.9 cm); sheet (irreg.): 23 11/16 x 17 15/16"" (60.2 x 45.6 cm)",http://www.moma.org/collection/works/65571,,,,30.2,,,24.9,,
In-text plate (page 97) from the illustrated book Le Chant des morts,Pablo Picasso,"1945–48, published 1948",Lithograph from an illustrated book with 123 lithographs,"composition (irreg.): 15 11/16 x 11 1/2"" (39.8 x 29.2 cm); page: 16 9/16 x 12 5/8"" (42 x 32 cm)",http://www.moma.org/collection/works/29708,,,,39.8,,,29.2,,
LAGNY -- HÔTEL DE VILLE,Eugène Atget,1906,Albumen silver print,"Approx. 8 11/16 × 7 1/16"" (22 × 18 cm)",,,,,,,,,,
Untitled,Jules Pascin,c. 1905-14,Pencil on paper,"1 3/4 x 1 5/8"" (4.6 x 4.2 cm)",http://www.moma.org/collection/works/37384,,,,4.4,,,4.1,,
Double page plate (folios 10 verso and 11) from SYSTEMATISCHE DENKPROFIELEN,Diederick Van Kleef,1988,"Linoleum cut, printed in color with bleed through from preceding and following plates","irreg. composition  11 7/8 x 18 11/16"" (30.2 x 47.4 cm)",,,,,30.2,,,47.4,,
Pictorial initial (page 38) from Les Petites Fleurs de St. François (The Little Flowers of St. Francis),Émile Bernard,1928,One from an illustrated book with 329 woodcuts,"composition (irreg.): 3 5/16 × 2 15/16"" (8.4 × 7.4 cm); page: 12 13/16 × 9 13/16"" (32.5 × 25 cm)",http://www.moma.org/collection/works/20519,,,,8.4,,,7.4,,
Untitled,Unknown photographer,c. 1930s,Gelatin silver print,"6 × 10 1/2"" (15.2 × 26.7 cm)",http://www.moma.org/collection/works/274687,,,,15.2400304801,,,26.6700533401,,
A Bestiary,"Various Artists, Gregory Amenoff, Joe Andoe, James Brown, Vija Celmins, Louisa Chase, Eric Fischl, Jan Hashey, Michael Hurson, Mel Kendrick, James Nares, Ellen Phelan, Joel Shapiro, Kiki Smith, David Storey, Michelle Stuart, Richard Tuttle, Trevor Winkfield, Robin Winters",1990,Illustrated book with twenty-nine linoleum cuts (two with pochoir and two with letterpress) and seven woodcuts,"page (each): 14 13/16 × 10 13/16"" (37.6 × 27.5 cm); overall (closed): 15 1/8 × 10 15/16 × 2 3/16"" (38.4 × 27.8 × 5.5 cm)",http://www.moma.org/collection/works/10078,,,,37.6238,,,27.5,,
Headpiece (page 75) from Cirque de l'étoile filante (The Shooting Star Circus),Georges Rouault,1938,Wood engraving from an illustrated book with seventy-four wood engravings and seventeen aquatint and etchings (eleven with drypoint),"composition (irreg.): 6 9/16 × 7 15/16"" (16.6 × 20.2 cm); page (irreg.): 17 5/16 × 13 3/16"" (44 × 33.5 cm)",http://www.moma.org/collection/works/30424,,,,16.6,,,20.2,,
"Devil's Holiday, design for the ballet",Eugene Berman,1940,Ink on colored paper,"11 13/16 x 8 7/8"" (30 x 22.5 cm)",http://www.moma.org/collection/works/84971,,,,30.0038,,,22.5425,,
Plate (folio 11 verso) from DER MOSAIKELEFANT UND ANDERE GEDICHTE,Bernhard Luginbühl,1984,"Woodcut, printed in black","irreg composition  8 11/16 x 12 1/4"" (22.1 x 31.1 cm)",,,,,22.1,,,31.1,,
Terror im Vergnügungspark from the Museum in Progress project Interventions in Progress,"Julius Deutschbauer, Gerhard Spring","(newspaper published June 9, 2004)","Lithograph, offset printed","sheet: 18 1/2 x 12 3/8"" (47 x 31.5 cm)",,,,,47.0,,,31.5,,
"LOGOLOGY (plate, folio 11) from CERCEAUX 'SORCELLENT",Jean Dubuffet,1967,"Pochoir, printed in color","irreg. composition  10 5/8 x 8 3/8"" (27 x 21.3 cm)",,,,,27.0,,,21.3,,
"Prints: various dimensions.""",Inter-American Fund,http://www.moma.org/collection/works/15756,,,
Spectacles,Jean Dubuffet,1961,Lithograph,,,,,,,,,,,
PAUL GAUGUIN,G. D. De Monfried,,"Woodcut, printed in black","Sheet 11 1/16 x 8 5/8"" (28.1 x 21.9 cm) Comp.  6 13/16 x 4 13/16"" (17.3 x 12.2 cm)",,,,,17.3,,,12.2,,
Plate (facing page 10) from Les Chants de Maldoror (The Songs of Maldoror),Salvador Dalí,1934,One from an illustrated book with forty-two photogravure and drypoints after celluloid engravings,"plate: 8 7/8 x 6 13/16"" (22.5 x 17.3cm); page: 13 1/16 x 9 15/16"" (33.2 x 25.2 cm)",http://www.moma.org/collection/works/23612,,,,22.5,,,17.3,,
Ready to Sparkle Fashions from General Dynamic F.U.N.,Eduardo Paolozzi,"1965–70, published 1970",Offset lithograph from a portfolio of thirty-four offset lithographs and sixteen screenprints,"composition and sheet: 14 15/16 x 10"" (38 x 25.4 cm)",http://www.moma.org/collection/works/150889,,,,38.0,,,25.4,,
"PREVI Housing Project, Lima, Peru (Plans of units)",Frederick Cooper Llosa,1968-1972,Ink on paper,,,,,,70.0,,,120.0,,
Untitled,Luke Swank,1930-41,Gelatin silver print,"5 7/8 × 8"" (15 × 20.3 cm)",http://www.moma.org/collection/works/49297,,,,15.0,,,20.3,,
"Picasso-Braque Exhibition at ""291""",Alfred Stieglitz,1915,Platinum print,"7 11/16 × 9 11/16"" (19.5 × 24.6 cm)
World Congress of Women",(Female),"Ink, tempera, and collage on paper","25 13/16 × 25 9/16"" (65.5 × 65 cm)",Committee on Architecture and Design Funds,829.2018,Design,Architecture & Design,2018-10-15,Y,290364
Lungs from Possession Is Nine-Tenths of the Law,Kiki Smith,1985,One from a portfolio of nine screenprint and monotypes with ink additions,"composition (irreg.): 14 3/8 x 15 1/4"" (36.5 x 38.7 cm); sheet: 21 5/8 x 16 9/16"" (55 x 42.1 cm)",http://www.moma.org/collection/works/60054,,,,36.5,,,38.7,,
Untitled from Six Prints,Liubov Popova,c. 1917–19,"Linoleum cut with watercolor and gouache additions from a portfolio of seven linoleum cuts (including title page), all with watercolor and gouache, and one with oil additions","composition and sheet: 13 3/4 x 10 3/16"" (35 x 25.8 cm)",http://www.moma.org/collection/works/116394,,,,35.0,,,25.8,,
Paper Softwall,"Stephanie Forsythe, Todd MacAllen",2003,Paper and wool felt,"h. 78 x w. 15 x depth ranges from 1 1/2"" to 25' (198.1 x 38.1 x 3.8 to 767 cm)",http://www.moma.org/collection/works/94960,,3.81,,198.1204,,,38.1001,,
Untitled,Unknown photographer,c. 1938–60,Gelatin silver print,"Approx. 2 × 2"" (5.1 × 5.1 cm)",http://www.moma.org/collection/works/277285,,,,5.08001016,,,5.08001016,,
"The Anatomic Explosion, New York","Yayoi Kusama, Harry Shunk, János Kender",1968,Gelatin silver print,"9 3/4 × 6 5/8"" (24.7 × 16.9 cm)",http://www.moma.org/collection/works/177002,,,,24.7,,,16.9,,
Hail,Emily Hubley,2011,"Video (color, sound)",,http://www.moma.org/collection/works/292875,,,,,,,,,
Number 172,Miguel Ocampo,1957,Oil on canvas,"21 1/4 x 31 7/8"" (54 x 81 cm)",http://www.moma.org/collection/works/78743,,,,54.0,,,81.0,,
Untitled from Vertical Horizontals,Hedda Sterne,1967,One from a series of five lithographs,"composition: 11 × 6 7/8"" (28 × 17.5 cm); sheet: 21 7/8 × 14 1/8"" (55.5 × 35.8 cm)",http://www.moma.org/collection/works/77952,,,,28.0,,,17.5,,
"Plate 7 from Arkhitekturnye fantazii: 101 kompozitsiia v kraskakh, 101 arkhitekturnaia miniatiura (Architectural Fantasies: 101 Compositions in Color, 101 Architectural Miniatures)",Iakov Chernikhov,1933,One from an illustrated book with 214 letterpress illustrations,"composition (irreg.): 4 5/8 × 7 13/16"" (11.7 × 19.9 cm); page (each): 11 3/4 × 8 1/16"" (29.9 × 20.5 cm)",,,,,11.7,,,19.9,,
Fear and Hope (The Man Comforts the Woman) [Furcht und Hoffnung (Der Mann tröstet das Weib)] (plate 7) from O Eternity - Thou Word of Thunder (Bach Cantata) [O Ewigkeit - Du Donnerwort (Bachkantate)],Oskar Kokoschka,"(1914, published 1916)",One from a portfolio of eleven lithographs,"composition (irreg. ): 15 3/8 x 12 3/16"" (39.1 x 31 cm); sheet: 26 7/16 x 20 3/16"" (67.2 x 51.2 cm)",http://www.moma.org/collection/works/117559,,,,39.1,,,31.0,,
Fluxus Media Opera,Mieko Shiomi,1994,VHS,,,,0.0,,0.0,,,0.0,,
Überflieger,Norbert Bisky,2003,Watercolor and pencil on paper,"16 1/2 x 22"" (41.9 x 55.9 cm)",http://www.moma.org/collection/works/95540,,,,41.9101,,,55.8801,,
The Sailor,Roger de La Fresnaye,(c. 1921),Pencil and ink on paper,"10 3/8 x 16 7/8"" (26.2 x 42.7 cm)",http://www.moma.org/collection/works/34134,,,,26.4,,,42.9,,
Unidentified project (Perspective),Erich Mendelsohn,c. 1935,Print,"15 3/4 x 18 15/16"" (40 x 48.1 cm)",http://www.moma.org/collection/works/195,,,,21.0,,,25.2,,
Headpiece (page 97) from POÈMES,Maurice Denis,1936-1942,"Lithograph, printed in black","irreg. composition  2 3/8 x 7 3/16"" (6.1 x 18.2 cm)",,,,,6.1,,,18.2,,
Plate (page 161) from Monsieur Aa l'antiphilosophe: Volume I from L'Antitête,Max Ernst,"1947–49, published 1949","Etching and aquatint from an illustrated book with 23 etchings (15 with aquatint, eight with drypoint and pochoir)","plate: 3 7/16 × 2 1/2"" (8.7 × 6.3 cm); page: 5 1/2 × 4 5/16"" (14 × 11 cm)",,,,,8.7,,,6.3,,
"HOUSE, TAORMINA, plate XVIII (page 75) from A BOOK OF TOWERS AND OTHER BUILDINGS OF SOUTHERN EUROPE",Richard Wyndham,1928,,"plate  4 13/16 x 3 3/16"" (12.2 x 8.1 cm)",,,,,12.2,,,8.1,,
Front cover from KNIZHNIE ZNAKI (EX LIBRIS),Dmitrii Mitrokhin,1921,"Woodcut, printed in black","composition  4 15/16 x 3 11/16"" (12.6 x 9.3 cm)",,,,,12.6,,,9.3,,
Untitled manuscript of verse,Olga Rozanova,c. 1917,Ink on paper,"sheet: 3 5/16 x 5 1/4"" (8.4 x 13.4 cm)",http://www.moma.org/collection/works/14231,,,,8.4,,,13.4,,
Poster of the French National Railroad,Album-miscellaneous,1900-1943,,,,,,,,,,,,
Untitled,Michael Schmidt,1991-94,Gelatin silver print,"19 15/16 × 13 9/16"" (50.6 × 34.5 cm)",,,,,50.6,,,34.5,,
"The Conquest, Rond-Point des Champs-Elysées”",Claude Parent,1972,Felt-tipped pen on paper,"8 1/4 x 11 11/16"" (21 x 29.7 cm)",http://www.moma.org/collection/works/192176,,,,21.0,,,29.7,,
"German Pavilion, International Exposition, Barcelona, Spain, Floor plan, second preliminary scheme",Ludwig Mies van der Rohe,1928-29,Pencil and colored pencil on tracing paper,"18 3/4 x 34 1/2"" (47.6 x 87.6 cm)",http://www.moma.org/collection/works/101656,,,,47.6250952502,,,87.6302,,
"Aircraft Carrier City in Landscape, project, Exterior perspective",Hans Hollein,1964,Cut-and-pasted printed paper on gelatin silver photographs mounted on board,"8 1/2 x 39 3/8"" (21.6 x 100 cm)",http://www.moma.org/collection/works/634,,,,21.6,,,100.0,,
Drawing 80/10,John Golding,1980,Pastel on paper,"31 1/8 x 53"" (78.9 x 134.5 cm)",http://www.moma.org/collection/works/35111,,,,79.1,,,134.6,,
"Poster for Picasso, My Master",Rodney Graham,2005,Offset lithograph,"sheet: 32 x 21"" (81.3 x 53.3 cm)",http://www.moma.org/collection/works/175764,,,,81.3,,,53.3,,
",Committee on Photography Fund,422.2011.22,Photograph,Photography,2011-05-18,N,161871,,,,,,20.3,,,25.3,,
Joe Maloney,Joe Maloney,41076,(American"," born 1949)""",15 ½ × 19 ½ in. (39.4 × 49.5 cm),Gift of Susan and Peter MacGill,1130.2014.9,,,39.4,,,49.5,,
Canto X from 18 Cantos,Barnett Newman,1964,One from an illustrated book with eighteen lithographs and one lithographed title page,"composition: 14 3/4 x 13 1/16"" (37.5 x 33.2 cm); sheet: 17 15/16 x 14 15/16"" (45.5 x 38 cm)",http://www.moma.org/collection/works/14594,,,,37.5,,,33.2,,
The Nutty Professor storyboards,"John Jensen, Jerry Lewis",,,"11 × 8 1/2"" (27.9 × 21.6 cm)",,,0.0,,27.9400558801,,,21.5900431801,,
Whisk,Louis Maslow,1940s,Stainless steel,"l. 18"" (45.7 cm)",http://www.moma.org/collection/works/4260,,,,,45.7,,,,
Study of an Upside-Down Nude (Étude de nu renversé ),Henri Matisse,1929,Etching with chine collé,"plate: 6 5/8 x 9 3/8"" (16.8 x 23.8 cm); sheet: 11 3/16 x 14 15/16"" (28 x 38 cm)",http://www.moma.org/collection/works/61986,,,,16.8,,,23.8,,
",Gift of Lee Friedlander,1928.2008,Photograph,Photography,2008-11-12,Y,121854,http://www.moma.org/collection/works/121854,http://www.moma.org/media/W1siZiIsIjE1Mjg3MSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=3749c94e2f03abff,,,,20.0,,,30.4,,
Image: 10 13/16 × 7 3/8"" (27.5 × 18.7 cm)",Latin American and Caribbean Fund,http://www.moma.org/collection/works/205423,http://www.moma.org/media/W1siZiIsIjM3NTM3MSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=80e839f6aaff5f37,,
Plate (page 51) from Le Désespéranto (Desesperanto): Volume III from L'Antitête (The Anti-Head),Joan Miró,"1947–49, published 1949","Etching and drypoint with pochoir from an illustrated book with twenty-three etchings (fifteen with aquatint, eight with drypoint and pochoir)","composition (irreg.): 4 13/16 × 3 9/16"" (12.3 × 9 cm); page: 5 1/2 × 4 5/16"" (14 × 11 cm)",,,,,12.3,,,9.0,,
Breath II, 5:10 min. 
Paper Bag (Bolsa de papel),Nicolás Paris,2008,"Lithograph with collage additions from a series of seven lithographs, three with collage additions","composition: 8 7/16 x 3 13/16"" (21.5 x 9.7 cm); sheet: 16 9/16 x 11 5/8"" (42 x 29.5 cm)",http://www.moma.org/collection/works/187947,,,,21.5,,,9.7,,
"TONI, THE BEGGAR (tailpiece, page 116) from CONCERT D'ÉTÉ",Aristide Maillol,1945,,"irreg. composition  3 5/16 x 3 11/16"" (8.5 x 9.3 cm)",,,,,8.5,,,9.3,,
Untitled,Unknown photographer,c. 1938–60,Gelatin silver print,"Approx. 2 × 2"" (5.1 × 5.1 cm)",http://www.moma.org/collection/works/277318,,,,5.08001016,,,5.08001016,,
"Tugendhat House, Brno, Czech Republic, Garden side elevation, print of MR2.190",Ludwig Mies van der Rohe,1928–1930,Print,"17 1/2 x 28 1/4"" (44.5 x 71.8 cm)",Pencil on paper,Gift of Constance B. Cartwright,457.1986,Drawing,Drawings & Prints,1986-12-22,Y,37017,http://www.moma.org/collection/works/37017,http://www.moma.org/media/W1siZiIsIjIxNDAwOCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=0ee053ce137d55f9
Pictorial initial (page 76) from Les Petites Fleurs de St. François (The Little Flowers of St. Francis),Émile Bernard,1928,One from an illustrated book with 329 woodcuts,"composition (irreg.): 3 5/16 × 3 1/16"" (8.4 × 7.7 cm); page: 12 13/16 × 9 13/16"" (32.5 × 25 cm)",http://www.moma.org/collection/works/20591,,,,8.4,,,7.7,,
Girl with Tulips (Jeanne Vaderin),Henri Matisse,1910,Charcoal on paper,"28 3/4 x 23"" (73 x 58.4 cm)",http://www.moma.org/collection/works/34863,,,,73.0,,,58.4201,,
Backwash (Ressac) from For Meyer Schapiro,Stanley William Hayter,"1973, published 1974","Lithograph from a portfolio of four lithographs (one with embossing), three screenprints (one with stamp additions), two lithograph and screenprints (one with embossing), two etching and aquatints, and one duplicated drawing","composition: 14 1/4 × 25 9/16"" (36.2 × 64.9 cm); sheet: 21 1/4 x 29 15/16"" (54 x 76 cm)",http://www.moma.org/collection/works/76494,,,,36.2,,,64.9,,
Untitled from Moonstrips Empire News,Eduardo Paolozzi,1967,One from a portfolio of 101 screenprints (including title page and colophon),"composition (irreg.): 14 3/16 x 9 5/8"" (36 x 24.5 cm); sheet: 14 15/16 × 9 15/16"" (38 × 25.2 cm)",http://www.moma.org/collection/works/32758,,,,36.0,,,24.5,,
Jacqueline's Portrait (Portrait de Jacqueline),Pablo Picasso,"December 4, 1956","Lithograph, offset printed","composition (irreg.): 20 7/8 x 15 3/4"" (53 x 40 cm); sheet: 26 1/8 x 19 11/16"" (66.4 x 50 cm)",http://www.moma.org/collection/works/60896,,,,53.0,,,40.0,,
",The Family of Man Fund,442.2004.3,Photograph,Photography,2004-10-13,Y,94652,http://www.moma.org/collection/works/94652,http://www.moma.org/media/W1siZiIsIjIzOTU3NSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=3754e34e415f36a5,,,,32.5,,,40.6,,
PREFACE (plate"," folio 3) from A PREFACE AND FOUR SEASONS""",(Male),1959,,19782,,,,,48.0,,,37.9,
Saturday Morning,Louise Bourgeois,2001,"Drypoint, with hand additions","plate: 10 15/16 x 8 7/16"" (27.8 x 21.5 cm); sheet: 14 9/16 x 11"" (37 x 28 cm)",http://www.moma.org/collection/works/84617,,,,27.8,,,21.5,,
"Philadelphia College of Art, project, Philadelphia, Pennsylvania, Elevation sketch",Louis I. Kahn,1964,Charcoal on tracing paper,"12 x 18 1/4"" (30.5 x 46.4 cm)",http://www.moma.org/collection/works/620,,,,30.5,,,46.4,,
Cross Painting,Arnulf Rainer,1980-85,Oil on plywood with painted metal,"6' 7 1/8"" x 31 1/2"" (201 x 80 cm)",http://www.moma.org/collection/works/79606,,,,201.0,,,80.0,,
"Cover of Architectural and Engineering News, January 1961",Robert Brownjohn,1961,Lithograph,"11 1/8 x 11"" (28.3 x 27.9 cm)",http://www.moma.org/collection/works/155382,,,,28.2575565151,,,27.9400558801,,
"Cup, Pitcher, Bottles",Ivan Kliun,1927,Pencil on paper,"12 1/4 x 7 3/8"" (31.0 x 18.5 cm)",http://www.moma.org/collection/works/34073,,,,31.1,,,18.7,,
Untitled from Runaways,Glenn Ligon,1993,One from a portfolio of ten lithographs,"composition (irreg.): 11 7/16 x 8 15/16"" (29.1 x 22.7 cm); sheet: 16 x 12"" (40.7 x 30.5 cm)",http://www.moma.org/collection/works/73012,,,,29.1,,,22.7,,
"The Atheneum, New Harmony, IN (Plan, preliminary sketch)",Richard Meier,1979,Graphite on tracing paper,"12 1/4 x 18 1/2"" (31.1 x 47 cm)",http://www.moma.org/collection/works/331,,,,31.1151,,,46.9901,,
"Comp. 16 1/2 x 23 1/4"""" (41.9 x 59.0 cm)""",Martha Dickinson Fund,,,,
"MAGIC OF SAYING (text, folio 46) from WORDSWORDSWORDS",Edwin Schlossberg,1968,"Letterpress, printed in black","irreg composition  2 15/16 x 2 1/8"" (7.5 x 5.4 cm)",,,,,7.5,,,5.4,,
Tailpiece (page 185) from PANTAGRUEL,André Derain,1943,,"composition  3 9/16 x 2 5/16"" (9.1 x 5.9 cm)",,,,,9.1,,,5.9,,
"Article from Print Quarterly, XXVII, 2010, I, “Free Prints and Multiples in Contemporary France” by Océane Delleaux",Ben Kinmont,2010,"stapled in the upper left corner, photocopy",,,,,,,,,,,
Mother and Child,Louise Bourgeois,1999,"Drypoint, with hand additions","plate: 11 15/16 x 9 15/16"" (30.3 x 25.2 cm); sheet: 16 1/2 x 14 1/16"" (42 x 35.7 cm)",http://www.moma.org/collection/works/59515,,,,30.3,,,25.2,,
Listing of Films and Categories,VALIE EXPORT,1971,"Four gelatin silver prints, printed paper, transfer type, ink and pencil on two pages of paper","Each: 12 x 18 1/2"" (30.5 x 47 cm)",http://www.moma.org/collection/works/147169,,0.0,,30.4800609601,,,46.9900939802,,
La Varenne (La Marne),Eugène Atget,1925,Gelatin silver printing-out-paper print,,,,,,,,,,,
Disintegrating Trench (Zerfallender Kampfgraben) from The War (Der Krieg),Otto Dix,1924,"Etching, aquatint, and drypoint from a portfolio of fifty etching, aquatint, and drypoints","plate: 11 9/16 x 9 5/8"" (29.3 x 24.4 cm); sheet: 18 9/16 x 13 11/16"" (47.2 x 34.8 cm)",http://www.moma.org/collection/works/87728,,,,29.3,,,24.4,,
Headpiece (page 119) from Fables of Aesop,Alexander Calder,1931,Letterpress from an illustrated book with fifty-two letterpress prints and one supplementary ink on paper drawing,"plate (irreg.): 3 3/8 × 5 1/8"" (8.5 × 13 cm); page (each irreg.): 9 13/16 × 7 11/16"" (25 × 19.5 cm)",http://www.moma.org/collection/works/404884,,,,8.5,,,13.0,,
Thread,Cildo Meireles,1990-95,"48 bales of hay, 1 18-carat gold needle, 100 meters of gold thread","Dimensions variable, approximately 7' 1"" x 6' 1 1/16"" x 72"" (215.9 x 185.5 x 182.9 cm)",http://www.moma.org/collection/works/81983,,,,15.2,,,,,
WOODCUTTERS,Leopoldo Méndez,1939,"Lithograph, printed in black","Sheet 12 3/4 x 19 3/4"" (32.4 x 50.2 cm) Comp.  11 11/16 x 15 11/16"" (29.7 x 39.8 cm)",,,,,29.7,,,39.8,,
Plate (folio 36) from A WHITMAN PORTRAIT,Antonio Frasconi,1960,,"irreg composition  5 11/16 x 3 1/2"" (14.5 x 8.9 cm)",,,,,14.5,,,8.9,,
Prospectus for the book Prospectus. 1988 – 2002. Thirty-one works by Ben Kinmont,Ben Kinmont,2002,"printed recto/verso in black ink on light blue paper, in a white mailing envelope",,,,,,,,,,,
