Title,Artist,ConstituentID,ArtistBio,Nationality,BeginDate,EndDate,Gender,Date,Medium,Dimensions,CreditLine,AccessionNumber,Classification,Department,DateAcquired,Cataloged,ObjectID,URL,ThumbnailURL,Circumference (cm),Depth (cm),Diameter (cm),Height (cm),Length (cm),Weight (kg),Width (cm),Seat Height (cm),Duration (sec.)
Thick Blocks of Musical Fudge,Edward Ruscha,5086,"(American, born 1937)",(American),(1937),(0),(Male),1976,Dry pigment on paper,"23 1/8 × 29"" (58.7 × 73.7 cm)",Gift of Robert Rauschenberg,397.1999,Drawing,Drawings & Prints,1999-10-21,Y,36656,http://www.moma.org/collection/works/36656,http://www.moma.org/media/W1siZiIsIjI3NDcxMCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=fbe36edde5eb15a5,,,,58.7,,,73.6601473203,,
Merz 2: Ich bin der Künstler von i,Kurt Schwitters,5293,"(German, 1887–1948)",(German),(1887),(1948),(Male),1923,Letterpress,"8 3/4 x 5 5/8"" (22.2 x 14.3 cm)","Jan Tschichold Collection, Gift of Philip Johnson",908.1999.2,Design,Architecture & Design,1999-12-10,Y,8658,http://www.moma.org/collection/works/8658,http://www.moma.org/media/W1siZiIsIjU5MzQ3Il0sWyJwIiwiY29udmVydCIsIi1yZXNpemUgMzAweDMwMFx1MDAzZSJdXQ.jpg?sha=73744e4ea81321d9,,,,22.2,,,14.3,,
Diver,Gregory Masurovsky,3825,"(American, 1929–2009)",(American),(1929),(2009),(Male),1969,Lithograph,"composition (irreg.): 25 7/8 x 20 5/8"" (65.7 x 52.4cm); sheet: 26 7/8 x 21 7/16"" (68.3 x 54.4cm)","Gift of Kleiner, Bell & Co.",287.1970,Print,Drawings & Prints,1974-01-10,Y,66082,http://www.moma.org/collection/works/66082,http://www.moma.org/media/W1siZiIsIjIyNzI5NiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=21f6e3763facd4e4,,,,65.7,,,52.4,,
Gray Black Skinny Sex,Edward Ruscha,5086,"(American, born 1937)",(American),(1937),(0),(Male),1979,Pastel on paper,"23 x 28 3/4"" (58.4 x 73 cm)
Colored Rhythm,Sonia Delaunay-Terk,1480,"(French, born Ukraine. 1885–1979)",(French),(1885),(1979),(Female),(1953),Gouache and pencil on paper,"21 1/8 x 27"" (53.6 x 68.5 cm)",The Riklis Collection of McCrory Corporation,869.1983,Drawing,Drawings & Prints,1985-09-10,Y,38196,http://www.moma.org/collection/works/38196,http://www.moma.org/media/W1siZiIsIjI3OTA2NSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=61c8fc7999548b5e,,,,53.6,,,68.5,,
Centaur and Woman,Rico Lebrun,3447,"(American, born Italy. 1900–1964)",(American),(1900),(1964),(Male),(October 11-13) 1961,Lithograph,"composition  12 7/16 x 15 15/16"" (31.6 x 40.6 cm)
"The Anatomic Explosion, New York","Yayoi Kusama, Harry Shunk, János Kender","3315, 8247, 38024","(Japanese, born 1929) (German, 1924–2006) (Hungarian, 1937–2009)",(Japanese) (French) (Hungarian),(1929) (1924) (1937),(0) (2006) (2009),(Female) (Male) (Male),1968,Gelatin silver print,"9 5/8 × 7 11/16"" (24.5 × 19.5 cm)",Gift of the Roy Lichtenstein Foundation in memory of Harry Shunk and János Kender,1017.2013.13,Photograph,Photography,2013-10-24,Y,176991,http://www.moma.org/collection/works/176991,http://www.moma.org/media/W1siZiIsIjI5NTgwMSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=f38996d3f953622c,,,,24.5,,,19.5,,
"The Dwelling of Our Time, German Building Exhibition, Berlin, Germany, Interior-finishing-materials exhibits (Perspective of unidentified exhibit)",Lilly Reich,8059,"(German, 1885–1947)",(German),(1885),(1947),(Female),1931,Pencil on tracing paper,"12 x 22 7/8"" (30.5 x 58.1 cm)","Lilly Reich Collection, Mies van der Rohe Archive",R9.29,Mies van der Rohe Archive,Architecture & Design,,N,145279,,,,,,30.4800609601,,,58.1026162052,,
"Perls House, Berlin-Zehlendorf, Germany (Plans, elevations and section)",Ludwig Mies van der Rohe,7166,"(American, born Germany. 1886–1969)",(American),(1886),(1969),(Male),1911,Pencil on print,"18 1/2 x 32 1/4"" (47 x 81.9 cm)","Mies van der Rohe Archive, gift of the architect
"Die Aktion, vol. 9, no. 45/46","Herbert Anger, Franz Schulze, Max Schwimmer","41168, 22921, 41378","(German) (German, 1895–1960)",(German) () (German),(0) (0) (1895),(0) (0) (1960),() (Male) (Male),"November 15, 1919","Periodical with three woodcuts; cover by Herbert Anger, additional prints by Franz Schulze and Max Schwimmer","page (each approx.): 12 1/8 x 9 1/8"" (30.8 x 23.2 cm)",Committee on Prints and Illustrated Books Fund and The Library Council,947.2010.276.1-3,Periodical,Drawings & Prints,2010-11-10,Y,144481,http://www.moma.org/collection/works/144481,http://www.moma.org/media/W1siZiIsIjI0Mzc5NSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=5a08d5b24145775a,,,,30.8,,,23.2,,
Rue de la Montagne-Sainte-Geneviève,Eugène Atget,229,"(French, 1857–1927)",(French),(1857),(1927),(Male),Mai 1925,Gelatin silver printing-out-paper print,"Approx. 7 × 8 7/8"" (17.8 × 22.5 cm)",Abbott-Levy Collection. Partial gift of Shirley C. Burden,1.1969.1503,Photograph,Photography,1968-03-06,Y,39440,http://www.moma.org/collection/works/39440,http://www.moma.org/media/W1siZiIsIjI4NjE5MSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=6722920c2a2dbe11,,,,,,,,,
Cry Stall Gaze,Pat Steir,5637,"(American, born 1940)",(American),(1940),(0),(Female),2012,Illustrated book with screenprint and photogravure,"unfolded: 15 1/4 x 216"" (38.7 x 548.6 cm); folded: 15 1/4 x 34 1/2"" (38.7 x 87.6 cm)
Tafel met stilleven from The Archives: Art Information Centre Peter Van Beveren,Klaas Gubbels,2387,"(Dutch, born 1934)",(Dutch),(1934),(0),(Male),1981,"Offset lithograph with collage additions from an artist's book, offset printed with collage, stamp, gouache, pencil, and ink additions","composition (irreg.): 11 1/8 × 6 5/16"" (28.2 × 16.1 cm); page: 11 7/16 × 8 1/4"" (29 × 21 cm)",John R. Jakobson Foundation Fund,414.1981.16,Illustrated Book,Drawings & Prints,1981-10-22,N,16893,,,,,,28.2,,,16.1,,
Man with Basket,Marc Chagall,1055,"(French, born Belarus. 1887–1985)",(French),(1887),(1985),(Male),1922,Drypoint,"plate: 4 5/8 × 3 9/16"" (11.8 × 9 cm); sheet: 13 3/4 × 10 1/2"" (34.9 × 26.7 cm)",A. Conger Goodyear Fund,125.1947,Print,Drawings & Prints,1947-06-17,Y,62277,http://www.moma.org/collection/works/62277,http://www.moma.org/media/W1siZiIsIjE5NTcwNyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=cf43e36b1f915c3a,,,,11.8,,,9.0,,
Silence,Georges Ribemont-Dessaignes,4893,"(French, 1884–1974)",(French),(1884),(1974),(Male),c. 1915,Oil on canvas,"36 1/4 x 28 7/8"" (92.1 x 73.3 cm)",Katherine S. Dreier Bequest,189.1953,Painting,Painting & Sculpture,1953-04-07,Y,79079,http://www.moma.org/collection/works/79079,http://www.moma.org/media/W1siZiIsIjE1MTA4NiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=21808b0237980370,,,,92.1,,,73.3,,
"THE APPARITION (plate, page 75) from SONGS AND SONETS",June Wayne,6271,"(American, 1918–2011)",(American),(1918),(2011),(Female),1959,"Lithograph, printed in black","irreg. composition  14 15/16 x 11 1/8"" (38 x 28.2 cm)",Gift of Evelyn and Robert Frank,531.1984.11,Illustrated Book,Drawings & Prints,1985-01-30,N,18263,,,,,,38.0,,,28.2,,
"Portrait of Balzac III (Portrait de Balzac III) (plate, folio 10) from balzacs en bas de casse et picassos sans majuscule",Pablo Picasso,4609,"(Spanish, 1881–1973)",(Spanish),(1881),(1973),(Male),"1952, published 1957",One from an illustrated book with eight transfer lithographs,"composition: 8 7/8 x 6 9/16"" (22.6 x 16.7 cm); sheet: 13 x 9 15/16"" (33 x 25.3 cm)",The Louis E. Stern Collection,1014.1964.2,Illustrated Book,Drawings & Prints,1964-10-06,Y,29980,http://www.moma.org/collection/works/29980,http://www.moma.org/media/W1siZiIsIjE2MTQxNyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=774276df4b22740f,,,,22.6,,,16.7,,
The Nude Man,Beth Van Hoesen,2684,"(American, 1926–2010)",(American),(1926),(2010),(Female),1965,"Book of twenty etchings (six with drypoint and six with aquatint), four drypoints, and one engraving","overall (closed): 15 7/16 x 11 9/16 x 13/16"" (39.2 x 29.3 x 2 cm)",Gift of the E. Mark Adams and Beth Van Hoesen Adams Trust,753.2012.1-25,Illustrated Book,Drawings & Prints,2012-05-22,Y,160200,http://www.moma.org/collection/works/160200,http://www.moma.org/media/W1siZiIsIjI0OTcxNyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=2c06085e3b255aac,,2.0,,39.2,,,29.3,,
"Untitled, (Abstraction, airplane)",Unknown photographer,8595,"",(),(0),(0),(),c. 1920,Gelatin silver print,"2 3/8 × 4 1/8"" (6 × 10.4 cm)",Gift of Thomas Walther,432.2005,Photograph,Photography,2005-05-11,Y,98147,http://www.moma.org/collection/works/98147,http://www.moma.org/media/W1siZiIsIjI5MjU3NiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=0b4b94db4737786f,,,,6.0,,,10.4,,
Abraham Mourns Sarah,Marc Chagall,1055,"(French, born Belarus. 1887–1985)",(French),(1887),(1985),(Male),(1931),Etching,"plate: 11 1/2 × 9 7/16"" (29.2 × 24 cm); sheet: 17 3/8 × 12 13/16"" (44.1 × 32.5 cm)",Larry Aldrich Fund,573.1954,Print,Drawings & Prints,1954-12-16,N,71337,,,,,,29.2,,,24.0,,
Ear,Louise Bourgeois,710,"(American, born France. 1911–2010)",(American),(1911),(2010),(Female),2004,"Drypoint and aquatint, with hand additions","plate: 9 7/8 x 6 1/8"" (25.1 x 15.6 cm); sheet: 12 11/16 x 8 3/4"" (32.2 x 22.3 cm)",Gift of the artist,1486.2012,Print,Drawings & Prints,2012-10-03,Y,150524,http://www.moma.org/collection/works/150524,http://www.moma.org/media/W1siZiIsIjI2Mzc0MSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=f5c22d27d4538491,,,,25.1,,,15.6,,
Poster of the French National Railroad,Album-miscellaneous,101,(Various),(),(0),(0),(),1900-1943,,,Gift of the French National Railroads,65.1943.106,Design,Architecture & Design,1943-02-18,N,162927,,,,,,,,,,,
"Subaek-dang Residence, Namyangju, Korea (Preliminary plan sketch)",Seung H-Sang,37373,"(Korean, born 1952)",(Korean),(1952),(0),(Male),1996-1997,Pencil on tracing paper,"12 x 17 1/2"" (30.5 x 44.5 cm)",Gift of Young-June Kiehm,115.2010,Architecture,Architecture & Design,2010-03-10,Y,134549,http://www.moma.org/collection/works/134549,,,,,30.4800609601,,,44.4500889002,,
Plate (page 93) from La Nouvelle chute d'Amérique,Roy Lichtenstein,3542,"(American, 1923–1997)",(American),(1923),(1997),(Male),1992,Aquatint from an illustrated book with ten aquatints,"plate: 11 x 14 7/8"" (28 x 37.8cm); sheet: 14 1/8 × 17 11/16"" (35.8 × 45 cm)",Gift of the artist,129.1993.9,Illustrated Book,Drawings & Prints,1993-05-03,Y,11441,http://www.moma.org/collection/works/11441,http://www.moma.org/media/W1siZiIsIjM0NTU1MCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=b1d46a26b1a135fd,,,,28.0,,,37.8,,
Double folio plate (folios 17 and 18) from SELVAGGINI,Angelo Savelli,5184,"(Italian, 1911–1995)",(Italian),(1911),(1995),(Male),1986,Folded embossing,"irreg. composition  14 9/16 x 20 11/16"" (37 x 52.5 cm)",Blanchette Hooker Rockefeller Fund,430.1987.4,Illustrated Book,Drawings & Prints,1987-10-20,N,17121,,,,,,37.0,,,52.5,,
The Spring,Francis Picabia,4607,"(French, 1879–1953)",(French),(1879),(1953),(Male),"Saint Cloud, spring or summer 1912",Oil on canvas,"8' 2 1/4"" x 8' 2 1/8"" (249.6 x 249.3 cm)","Eugene and Agnes E. Meyer Collection, given by their family",1411.1974,Painting,Painting & Sculpture,1975-02-11,Y,80658,http://www.moma.org/collection/works/80658,http://www.moma.org/media/W1siZiIsIjQ4MTgxMCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=f9bbfd9294a76468,,,,249.6,,,249.3,,
"Épicerie Bagneaux, Rouen",Unknown photographer,8595,"",(),(0),(0),(),1904,Gelatin silver print,"Approx. 3 9/16 × 5 1/2"" (9 × 14 cm)",Acquired through the generosity of Jon L. Stryker and Committee on Photography Fund,472.2019.53,Photograph,Photography,,Y,405086,http://www.moma.org/collection/works/405086,http://www.moma.org/media/W1siZiIsIjQ4Mjg0OCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=e8b120fd000a86b3,,,,,,,,,
",MR43.197,Mies van der Rohe Archive,Architecture & Design,,Y,170154,http://www.moma.org/collection/works/170154,http://www.moma.org/media/W1siZiIsIjI3MjA2NCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=bbb59d8843174f64,,,,41.9101,,,29.8451,,
Isadora Duncan at the Portal of the Parthenon,Edward Steichen,5623,"(American, born Luxembourg. 1879–1973)",(American),(1879),(1973),(Male),1921,Gelatin silver print,"7 3/8 × 9 7/16"" (18.7 × 24 cm)",Gift of the artist,1229.1964,Photograph,Photography,1964-11-10,N,57951,,,,,,18.7325,,,23.9713,,
Landscape with Clouds,Roy Lichtenstein,3542,"(American, 1923–1997)",(American),(1923),(1997),(Male),1964,Crayon and pencil on paper,"4 5/8 x 11 1/8"" (11.9 x 28.4 cm)",Fractional and promised gift of Jan Cowles and Charles Cowles to honor the memory of Roy Lichtenstein,1373.1974,Drawing,Drawings & Prints,1975-01-24,Y,38603,http://www.moma.org/collection/works/38603,http://www.moma.org/media/W1siZiIsIjM0NTAyMCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=6eecc2751c3ddf54,,,,11.7,,,28.3,,
Crow with Peacock Feathers (Krähe mit Pfauenfedern) (in-text plate (page 29) from Tierfabeln des Aesop (Aesop's Fables),Gerhard Marcks,3756,"(German, 1889–1981)",(German),(1889),(1981),(Male),"(1950, print executed 1949-50)","One from an illustrated book with thirty-five woodcuts (including woodcut cover, title page and ornamental initials)","composition (irreg.): 1 3/4 x 3 9/16"" (4.4 x 9 cm); page: 13 x 9 1/16"" (33 x 23 cm)",Abby Aldrich Rockefeller Fund,305.1950.18,Illustrated Book,Drawings & Prints,1950-10-11,Y,15034,http://www.moma.org/collection/works/15034,http://www.moma.org/media/W1siZiIsIjEyOTAyOSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=d88c66023e99d85f,,,,4.4,,,9.0,,
Convex Cup,Ted Muehling,28209,"(American, born 1953)",(American),(1953),(0),(Male),2000,Porcelain,"3 1/2 x diam. 3"" (8.9 x 7.6 cm)",Gift of Duke Franz von Bayern,499.2005,Design,Architecture & Design,2005-05-18,Y,95164,http://www.moma.org/collection/works/95164,http://www.moma.org/media/W1siZiIsIjI2MjA1NSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=5b54f4d9bccbf0f8,,,7.62,8.89,,,,,
Costume design (Androcles and the Lion) for artist's ballet Orphée of the Quat-z-arts,Florine Stettheimer,5657,"(American, 1871–1944)",(American),(1871),(1944),(Female),c. 1912,"Oil, yarn, fabric, and lace on wood","11 7/8 x 17 7/8"" (30.2 x 45.4 cm)",Gift of Miss Ettie Stettheimer,83.1947.3,Drawing,Drawings & Prints,1947-03-13,Y,85855,http://www.moma.org/collection/works/85855,http://www.moma.org/media/W1siZiIsIjI4OTI2NSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=9ece4708d9a4d427,,,,30.1626,,,45.4026,,
"Contemporary Man, in Proposals for Art Education from a Year Long Study Supported by The Carnegie Corporation of New York",George Maciunas,21398,"(American, born Lithuania. 1931–1978)",(American),(1931),(1978),(Male),c. 1968,(CONFIRM),,The Gilbert and Lila Silverman Fluxus Collection Gift,2571.2008,Print,Drawings & Prints,,N,127869,,,,,,,,,,,
"Urban Proposal with Multi Thin-Shell Capsules, project (Plan sketch)",Daniel Grataloup,42362,"(Swiss, born 1937)",(Swiss),(1937),(0),(Male),1970,"Felt-tipped marker, pencil and colored pencil on paper","11 3/4 x 8 1/4"" (29.8 x 21 cm)",Gift of the architect,1808.2012.49,Architecture,Architecture & Design,2012-10-15,Y,168708,http://www.moma.org/collection/works/168708,http://www.moma.org/media/W1siZiIsIjI2NjE4MCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=8f93f62628c10289,,,,29.8450596901,,,20.9550419101,,
Outamaro,Henri Matisse,3832,"(French, 1869–1954)",(French),(1869),(1954),(Male),1914,Etching with chine collé,"plate: 7 1/16 x 5 1/8"" (17.9 x 13 cm); sheet: 14 3/16 x 10 13/16"" (36 x 27.5 cm)",Gift of Abby Aldrich Rockefeller,424.1940,Print,Drawings & Prints,1940-04-05,Y,68877,http://www.moma.org/collection/works/68877,http://www.moma.org/media/W1siZiIsIjE2NDE3NiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=791830ab0212819b,,,,17.9,,,13.0,,
"Chapel de Notre-Dame-du-Haut, Ronchamp, France (Exterior view)","Richard Pare, Le Corbusier (Charles-Édouard Jeanneret)","4496, 3426","(British, born 1948) (French, born Switzerland. 1887–1965)",(British) (French),(1948) (1887),(0) (1965),(Male) (Male),2012,Digital color coupler laser prints,"22 1/4 x 96"" (56.5 x 243.8 cm)",Gift of Elise Jaffe + Jeffrey Brown,688.2013,Architecture,Architecture & Design,2013-06-03,Y,168008,http://www.moma.org/collection/works/168008,http://www.moma.org/media/W1siZiIsIjI2MzYzNiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=97816abdf28c0a3d,,,,80.0101600203,,,269.8755397511,,
"Couple et petit valet encadrés par une portière (plate, page 92) from La Célestine",Pablo Picasso,4609,"(Spanish, 1881–1973)",(Spanish),(1881),(1973),(Male),"1968, published 1971",One from an illustrated book with 66 etching and aquatints,"page (each, approx.): 8 1/4 x 6 7/16"" (21 x 16.3 cm); overall (closed): 8 11/16 x 7 3/16 x 1 9/16"" (22 x 18.3 x 4 cm); case: 9 x 7 3/8 x 1 7/8"" (22.8 x 18.7 x 4.8 cm)",Committee on Prints and Illustrated Books Fund,1659.2012.22,Illustrated Book,Drawings & Prints,2012-10-03,N,165041,,,,,,21.0,,,16.3,,
"Lafayette Towers, Detroit, MI",Ludwig Mies van der Rohe,7166,"(American, born Germany. 1886–1969)",(American),(1886),(1969),(Male),1960,Pencil on acetate,"31 1/2 x 60 1/2"" (80 x 153.7 cm)","Mies van der Rohe Archive, gift of the architect",MR6002.64,Mies van der Rohe Archive,Architecture & Design,,Y,170040,http://www.moma.org/collection/works/170040,http://www.moma.org/media/W1siZiIsIjI3MjE3NiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=278a91b6e5fc9ed2,,,,80.0101600203,,,153.6703073406,,
Splitting I and II,Anselm Kiefer,3086,"(German, born 1945)",(German),(1945),(0),(Male),1986,"Two-volume book of clay, photographs, synthetic polymer paint, glass, porcelain, and copper wire on board, bound with canvas, each on a steel lectern designed by the artist","Volume I 27 3/4 x 19 3/4 x 4 3/4"" (70.4 x 50.2 x 12.2 cm), volume II 28 x 20 x 3 1/2"" (71 x 50.8 x 8.9 cm), lecterns, each 41 x 43 5/8 x 26 1/2"" (104 x 110.1 x 67.2 cm)",Gift of Emily and Jerry Spiegel,24.1988.a-d,Sculpture,Painting & Sculpture,1988-02-08,Y,80852,http://www.moma.org/collection/works/80852,http://www.moma.org/media/W1siZiIsIjE2NTc5MiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=19479118691cefcf,,67.3,,104.1,,,110.8,,
Untitled,"","","","","","","","June 9, 1962",Gelatin silver print,,The Gilbert and Lila Silverman Fluxus Collection Gift,3619.2008.A09.x1-x2,Photograph,Drawings & Prints,2008-10-08,N,201332,,,,,,,,,,,
DRAWING RESTRAINT 12,Matthew Barney,7005,"(American, born 1967)",(American),(1967),(0),(Male),2005,"Video (black and white, silent)",11:50 min.,"Jointly owned by Laurenz Foundation, Schaulager, Basel; and The Museum of Modern Art, New York, Richard S. Zeisler Bequest and The Blanchette Hooker Rockefeller Fund (both by exchange)",77.2010.10,Video,Painting & Sculpture,2010-03-08,Y,194545,http://www.moma.org/collection/works/194545,,,,,,,,,,710.0
Solomon and His Wives (Salomo und seine Frauen),Emil Nolde,4327,"(German, 1867–1956)",(German),(1867),(1956),(Male),(1911),Etching and tonal etching,"plate: 11 7/8 x 9 13/16"" (30.2 x 24.9 cm); sheet (irreg.): 23 11/16 x 17 15/16"" (60.2 x 45.6 cm)",Purchase,266.1955,Print,Drawings & Prints,1955-10-10,Y,65571,http://www.moma.org/collection/works/65571,http://www.moma.org/media/W1siZiIsIjExMzUzNSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=ec66f26387d0071f,,,,30.2,,,24.9,,
In-text plate (page 97) from the illustrated book Le Chant des morts,Pablo Picasso,4609,"(Spanish, 1881–1973)",(Spanish),(1881),(1973),(Male),"1945–48, published 1948",Lithograph from an illustrated book with 123 lithographs,"composition (irreg.): 15 11/16 x 11 1/2"" (39.8 x 29.2 cm); page: 16 9/16 x 12 5/8"" (42 x 32 cm)",The Louis E. Stern Collection,990.1964.97,Illustrated Book,Drawings & Prints,1964-10-06,Y,29708,http://www.moma.org/collection/works/29708,http://www.moma.org/media/W1siZiIsIjE3NDIwOSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=d87f03336917a207,,,,39.8,,,29.2,,
LAGNY -- HÔTEL DE VILLE,Eugène Atget,229,"(French, 1857–1927)",(French),(1857),(1927),(Male),1906,Albumen silver print,"Approx. 8 11/16 × 7 1/16"" (22 × 18 cm)",Abbott-Levy Collection. Partial gift of Shirley C. Burden,1.1969.1169,Photograph,Photography,1968-03-06,N,39068,,,,,,,,,,,
Untitled,Jules Pascin,4514,"(American, born Bulgaria. 1885–1930)",(American),(1885),(1930),(Male),c. 1905-14,Pencil on paper,"1 3/4 x 1 5/8"" (4.6 x 4.2 cm)",A. Conger Goodyear Fund,578.1956.11,Drawing,Drawings & Prints,1956-12-19,Y,37384,http://www.moma.org/collection/works/37384,,,,,4.4,,,4.1,,
Double page plate (folios 10 verso and 11) from SYSTEMATISCHE DENKPROFIELEN,Diederick Van Kleef,6083,"(Dutch, born 1954)",(Dutch),(1954),(0),(Male),1988,"Linoleum cut, printed in color with bleed through from preceding and following plates","irreg. composition  11 7/8 x 18 11/16"" (30.2 x 47.4 cm)",Purchase,23.1989.10,Illustrated Book,Drawings & Prints,1989-01-18,N,9739,,,,,,30.2,,,47.4,,
Pictorial initial (page 38) from Les Petites Fleurs de St. François (The Little Flowers of St. Francis),Émile Bernard,511,"(French, 1868–1941)",(French),(1868),(1941),(Male),1928,One from an illustrated book with 329 woodcuts,"composition (irreg.): 3 5/16 × 2 15/16"" (8.4 × 7.4 cm); page: 12 13/16 × 9 13/16"" (32.5 × 25 cm)",The Louis E. Stern Collection,677.1964.29,Illustrated Book,Drawings & Prints,1964-10-06,Y,20519,http://www.moma.org/collection/works/20519,http://www.moma.org/media/W1siZiIsIjE4MTY4NSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=522965f00417dc19,,,,8.4,,,7.4,,
Untitled,Unknown photographer,8595,"",(),(0),(0),(),c. 1930s,Gelatin silver print,"6 × 10 1/2"" (15.2 × 26.7 cm)",Gift of Peter J. Cohen,768.2017.1,Photograph,Photography,2017-10-26,Y,274687,http://www.moma.org/collection/works/274687,http://www.moma.org/media/W1siZiIsIjQyMzU3NCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=deb9d6630f34be05,,,,15.2400304801,,,26.6700533401,,
A Bestiary,"Various Artists, Gregory Amenoff, Joe Andoe, James Brown, Vija Celmins, Louisa Chase, Eric Fischl, Jan Hashey, Michael Hurson, Mel Kendrick, James Nares, Ellen Phelan, Joel Shapiro, Kiki Smith, David Storey, Michelle Stuart, Richard Tuttle, Trevor Winkfield, Robin Winters","24409, 145, 172, 806, 1048, 1078, 1889, 2531, 2775, 3058, 4225, 4598, 5373, 5486, 5679, 5702, 5983, 6396, 6407","(American, born 1948) (American, born 1955) (American, 1951–2020) (American, born Latvia 1938) (American, 1951–2016) (American, born 1948) (American, born 1938) (American, 1941–2007) (American, born 1949) (British, born 1953) (American, born 1943) (American, born 1941) (American, born Germany 1954) (American, born 1948) (American, born 1938) (American, born 1941) (British, born 1944) (American, born 1950)",() (American) (American) (American) (American) (American) (American) (American) (American) (American) (British) (American) (American) (American) (American) (American) (American) (British) (American),(0) (1948) (1955) (1951) (1938) (1951) (1948) (1938) (1941) (1949) (1953) (1943) (1941) (1954) (1948) (1938) (1941) (1944) (1950),(0) (0) (0) (2020) (0) (2016) (0) (0) (2007) (0) (0) (0) (0) (0) (0) (0) (0) (0) (0),() (Male) (Male) (Male) (Female) (Female) (Male) (Female) (Male) (Male) (Male) (Female) (Male) (Female) (Male) (Female) (Male) (Male) (Male),1990,Illustrated book with twenty-nine linoleum cuts (two with pochoir and two with letterpress) and seven woodcuts,"page (each): 14 13/16 × 10 13/16"" (37.6 × 27.5 cm); overall (closed): 15 1/8 × 10 15/16 × 2 3/16"" (38.4 × 27.8 × 5.5 cm)",Abby Aldrich Rockefeller Fund,29.1991.1-36,Illustrated Book,Drawings & Prints,1991-01-23,Y,10078,http://www.moma.org/collection/works/10078,http://www.moma.org/media/W1siZiIsIjQ4OTM4OCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=0cde304b6ec0ce0b,,,,37.6238,,,27.5,,
